scenario,seed,vehicle_id,duration_s,time_loss_s,waiting_time_s,depart_delay_s,route_length_m,co2_mg,nox_mg,fuel_mg
baseline,5,west_to_east_15.99,101.0,28.82,18.0,0.07,994.9,253799.147416,97.459291,80951.807339
baseline,5,east_to_west_14.111,94.0,22.12,12.0,0.32,994.9,237489.480463,92.514349,75749.226206
baseline,5,west_to_east_15.101,90.0,17.64,6.0,0.13,994.9,224419.029175,86.977641,71579.960342
baseline,5,west_to_east_15.103,79.0,4.04,0.0,0.18,994.9,174941.487501,62.836859,55798.650993
baseline,5,east_to_west_14.113,87.0,9.94,0.0,0.63,994.9,203361.257001,75.827585,64863.343917
baseline,5,west_to_east_15.102,87.0,14.81,2.0,0.65,994.9,231176.351548,89.978768,73734.911861
baseline,5,east_to_west_14.112,94.0,22.18,8.0,0.47,994.9,223644.176339,85.51299,71333.106151
baseline,5,west_to_east_15.98,115.0,26.33,16.0,0.55,994.9,248132.58962,95.98665,79144.713319
baseline,5,west_to_east_15.100,102.0,27.78,13.0,0.6,994.9,250431.57793,98.234927,79877.33594
baseline,5,east_to_west_14.108,119.0,29.86,19.0,0.85,994.9,260855.649101,101.808739,83202.913087
baseline,5,east_to_west_14.110,108.0,35.94,17.0,0.16,994.9,262153.291325,104.026623,83616.273429
