scenario,seed,detector,begin_s,end_s,mean_queue_veh,max_queue_veh,mean_halts
baseline,1,n_queue,2340.0,2400.0,2.92,7.0,0.0
baseline,1,s_queue,2340.0,2400.0,1.13,4.0,0.0
baseline,1,e_queue,2340.0,2400.0,1.25,5.0,0.0
baseline,1,w_queue,2340.0,2400.0,1.1,4.0,0.0
baseline,1,n_queue,2400.0,2460.0,2.87,7.0,0.0
baseline,1,s_queue,2400.0,2460.0,1.4,4.0,0.0
baseline,1,e_queue,2400.0,2460.0,1.38,4.0,0.0
baseline,1,w_queue,2400.0,2460.0,1.13,4.0,0.0
baseline,1,n_queue,2460.0,2520.0,2.08,7.0,0.0
baseline,1,s_queue,2460.0,2520.0,1.12,4.0,0.0
baseline,1,e_queue,2460.0,2520.0,1.63,4.0,0.0
baseline,1,w_queue,2460.0,2520.0,1.42,4.0,0.0
baseline,1,n_queue,2520.0,2580.0,1.63,6.0,0.0
baseline,1,s_queue,2520.0,2580.0,0.7,3.0,0.0
baseline,1,e_queue,2520.0,2580.0,1.88,4.0,0.0
baseline,1,w_queue,2520.0,2580.0,1.53,4.0,0.0
baseline,1,n_queue,2580.0,2640.0,2.05,7.0,0.0
baseline,1,s_queue,2580.0,2640.0,1.07,4.0,0.0
baseline,1,e_queue,2580.0,2640.0,1.58,4.0,0.0
baseline,1,w_queue,2580.0,2640.0,1.5,4.0,0.0
baseline,1,n_queue,2640.0,2700.0,2.32,7.0,0.0
baseline,1,s_queue,2640.0,2700.0,1.22,4.0,0.0
baseline,1,e_queue,2640.0,2700.0,1.3,4.0,0.0
baseline,1,w_queue,2640.0,2700.0,1.45,4.0,0.0
baseline,1,n_queue,2700.0,2760.0,2.12,6.0,0.0
baseline,1,s_queue,2700.0,2760.0,1.4,4.0,0.0
baseline,1,e_queue,2700.0,2760.0,1.07,3.0,0.0
baseline,1,w_queue,2700.0,2760.0,0.95,3.0,0.0
baseline,1,n_queue,2760.0,2820.0,3.13,7.0,0.0
baseline,1,s_queue,2760.0,2820.0,1.2,3.0,0.0
baseline,1,e_queue,2760.0,2820.0,1.03,4.0,0.0
baseline,1,w_queue,2760.0,2820.0,1.03,4.0,0.0
baseline,1,n_queue,2820.0,2880.0,2.52,6.0,0.0
baseline,1,s_queue,2820.0,2880.0,1.18,3.0,0.0
baseline,1,e_queue,2820.0,2880.0,1.17,4.0,0.0
baseline,1,w_queue,2820.0,2880.0,1.03,3.0,0.0
baseline,1,n_queue,2880.0,2940.0,2.18,7.0,0.0
baseline,1,s_queue,2880.0,2940.0,1.25,4.0,0.0
baseline,1,e_queue,2880.0,2940.0,1.37,4.0,0.0
baseline,1,w_queue,2880.0,2940.0,1.15,4.0,0.0
baseline,1,n_queue,2940.0,3000.0,1.85,6.0,0.0
baseline,1,s_queue,2940.0,3000.0,0.68,3.0,0.0
baseline,1,e_queue,2940.0,3000.0,1.42,4.0,0.0
baseline,1,w_queue,2940.0,3000.0,1.55,3.0,0.0
baseline,1,n_queue,3000.0,3060.0,2.22,7.0,0.0
baseline,1,s_queue,3000.0,3060.0,0.83,4.0,0.0
baseline,1,e_queue,3000.0,3060.0,1.82,5.0,0.0
baseline,1,w_queue,3000.0,3060.0,1.6,4.0,0.0
baseline,1,n_queue,3060.0,3120.0,2.55,7.0,0.0
baseline,1,s_queue,3060.0,3120.0,0.92,4.0,0.0
baseline,1,e_queue,3060.0,3120.0,1.52,4.0,0.0
baseline,1,w_queue,3060.0,3120.0,1.53,4.0,0.0
baseline,1,n_queue,3120.0,3180.0,3.02,7.0,0.0
baseline,1,s_queue,3120.0,3180.0,1.17,3.0,0.0
baseline,1,e_queue,3120.0,3180.0,1.25,3.0,0.0
baseline,1,w_queue,3120.0,3180.0,1.0,3.0,0.0
baseline,1,n_queue,3180.0,3240.0,2.48,7.0,0.0
baseline,1,s_queue,3180.0,3240.0,1.0,3.0,0.0
baseline,1,e_queue,3180.0,3240.0,1.33,5.0,0.0
baseline,1,w_queue,3180.0,3240.0,0.93,4.0,0.0
baseline,1,n_queue,3240.0,3300.0,2.82,7.0,0.0
baseline,1,s_queue,3240.0,3300.0,0.97,4.0,0.0
baseline,1,e_queue,3240.0,3300.0,1.47,4.0,0.0
baseline,1,w_queue,3240.0,3300.0,1.12,3.0,0.0
baseline,1,n_queue,3300.0,3360.0,2.27,7.0,0.0
baseline,1,s_queue,3300.0,3360.0,1.05,4.0,0.0
baseline,1,e_queue,3300.0,3360.0,1.37,4.0,0.0
baseline,1,w_queue,3300.0,3360.0,1.07,3.0,0.0
baseline,1,n_queue,3360.0,3420.0,1.83,6.0,0.0
baseline,1,s_queue,3360.0,3420.0,0.75,3.0,0.0
baseline,1,e_queue,3360.0,3420.0,1.47,4.0,0.0
baseline,1,w_queue,3360.0,3420.0,1.58,4.0,0.0
baseline,1,n_queue,3420.0,3480.0,2.43,8.0,0.0
baseline,1,s_queue,3420.0,3480.0,0.93,4.0,0.0
baseline,1,e_queue,3420.0,3480.0,1.52,4.0,0.0
baseline,1,w_queue,3420.0,3480.0,1.18,3.0,0.0
baseline,1,n_queue,3480.0,3540.0,2.63,8.0,0.0
baseline,1,s_queue,3480.0,3540.0,1.05,4.0,0.0
baseline,1,e_queue,3480.0,3540.0,2.13,5.0,0.0
baseline,1,w_queue,3480.0,3540.0,1.52,4.0,0.0
baseline,1,n_queue,3540.0,3600.0,2.88,7.0,0.0
baseline,1,s_queue,3540.0,3600.0,1.12,3.0,0.0
baseline,1,e_queue,3540.0,3600.0,1.28,3.0,0.0
baseline,1,w_queue,3540.0,3600.0,0.82,3.0,0.0
baseline,1,n_queue,3600.0,3660.0,1.6,5.0,0.0
baseline,1,s_queue,3600.0,3660.0,0.88,3.0,0.0
baseline,1,e_queue,3600.0,3660.0,1.12,4.0,0.0
baseline,1,w_queue,3600.0,3660.0,0.57,4.0,0.0
baseline,1,n_queue,3660.0,3720.0,0.0,0.0,0.0
baseline,1,s_queue,3660.0,3720.0,0.0,0.0,0.0
baseline,1,e_queue,3660.0,3720.0,0.3,1.0,0.0
baseline,1,w_queue,3660.0,3720.0,0.0,0.0,0.0
baseline,1,n_queue,3720.0,3780.0,0.0,0.0,0.0
baseline,1,s_queue,3720.0,3780.0,0.0,0.0,0.0
baseline,1,e_queue,3720.0,3780.0,0.0,0.0,0.0
baseline,1,w_queue,3720.0,3780.0,0.0,0.0,0.0
baseline,1,n_queue,3780.0,3840.0,0.0,0.0,0.0
baseline,1,s_queue,3780.0,3840.0,0.0,0.0,0.0
baseline,1,e_queue,3780.0,3840.0,0.0,0.0,0.0
baseline,1,w_queue,3780.0,3840.0,0.0,0.0,0.0
baseline,1,n_queue,3840.0,3900.0,0.0,0.0,0.0
baseline,1,s_queue,3840.0,3900.0,0.0,0.0,0.0
baseline,1,e_queue,3840.0,3900.0,0.0,0.0,0.0
baseline,1,w_queue,3840.0,3900.0,0.0,0.0,0.0
baseline,1,n_queue,3900.0,3960.0,0.0,0.0,0.0
baseline,1,s_queue,3900.0,3960.0,0.0,0.0,0.0
baseline,1,e_queue,3900.0,3960.0,0.0,0.0,0.0
baseline,1,w_queue,3900.0,3960.0,0.0,0.0,0.0
baseline,1,n_queue,3960.0,4020.0,0.0,0.0,0.0
baseline,1,s_queue,3960.0,4020.0,0.0,0.0,0.0
baseline,1,e_queue,3960.0,4020.0,0.0,0.0,0.0
baseline,1,w_queue,3960.0,4020.0,0.0,0.0,0.0
