zone_id,road,direction,latitude,longitude,distance_to_bridge_km,analysis_group,is_treatment_geographic,is_control_geographic,pre_rows,pre_speed_coverage,pre_median_volume,donor_not_excluded_road,donor_is_interstate,donor_distance_eligible,donor_speed_coverage_eligible,donor_volume_eligible,donor_not_treatment,donor_not_control,donor_candidate_eligible
95082,Unknown,Inner Loop,39.015203,-77.017826,47.32563023538681,outside,False,False,772.0,1.0,29.0,True,False,True,True,True,True,True,False
95089,I-95,South,39.112207,-76.877931,31.920409960589325,outside,False,False,2.0,0.0,0.0,False,True,True,False,False,True,True,False
95090,Unknown,North,39.015468,-77.099828,53.712358004777855,outside,False,False,2099.0,1.0,396.0,True,False,True,True,True,True,True,False
95091,I-95,North,38.807018,-76.981543,59.34286771910211,outside,False,False,2093.0,1.0,1230.0,False,True,True,True,True,True,True,False
95092,I-95,South,38.807018,-76.981543,59.34286771910211,outside,False,False,2093.0,1.0,1019.0,False,True,True,True,True,True,True,False
95093,I-795,North,39.46434,-76.837291,38.8680856149848,control,False,True,2099.0,1.0,220.0,True,True,True,True,True,True,False,False
95094,I-495,Inner Loop,38.840958,-76.868207,50.28689881082153,outside,False,False,2008.0,0.0,0.0,True,True,True,False,False,True,True,False
95095,I-495,Outer Loop,38.818092,-76.916052,54.796267222581044,outside,False,False,599.0,0.1986644407345576,0.0,True,True,True,False,False,True,True,False
95098,MD-187,South,39.015507,-77.118988,55.229808442370384,outside,False,False,2099.0,1.0,192.0,True,False,True,True,True,True,True,False
95099,MD-187,East,39.015507,-77.118988,55.229808442370384,outside,False,False,2099.0,0.9866603144354454,24.0,True,False,True,True,True,True,True,False
95100,MD-187,North,39.015507,-77.118988,55.229808442370384,outside,False,False,2099.0,0.9995235826584088,124.0,True,False,True,True,True,True,True,False
95105,I-495,North,39.016795,-77.119533,55.21722924837505,donor_candidate,False,False,1161.0,0.9896640826873385,45.0,True,True,True,True,True,True,True,True
95106,I-495,South,39.016795,-77.119533,55.21722924837505,outside,False,False,1161.0,0.892334194659776,3.0,True,True,True,False,False,True,True,False
95107,I-495,North,39.016795,-77.119533,55.21722924837505,outside,False,False,1161.0,0.4754521963824289,0.0,True,True,True,False,False,True,True,False
95110,I-495,Outer Loop,38.840142,-76.864293,50.164929034196255,donor_candidate,False,False,2099.0,0.9995235826584088,178.0,True,True,True,True,True,True,True,True
95111,I-495,North,38.840142,-76.864293,50.164929034196255,donor_candidate,False,False,2099.0,0.9995235826584088,105.0,True,True,True,True,True,True,True,True
95112,Unknown,Outer Loop,39.017148,-77.016715,47.141687151925055,outside,False,False,786.0,0.9987277353689568,105.0,True,False,True,True,True,True,True,False
95113,Unknown,South,39.015733,-77.100505,53.75405333037537,outside,False,False,2099.0,1.0,435.0,True,False,True,True,True,True,True,False
95117,Unknown,South,39.01871,-76.978218,44.11995128270664,outside,False,False,2070.0,0.9985507246376811,105.0,True,False,True,True,True,True,True,False
95118,I-95,North,39.040192,-76.936231,39.793050802462766,outside,False,False,2060.0,1.0,1221.5,False,True,True,True,True,True,True,False
95119,I-695,East,39.390327,-76.71429,25.729065124823826,outside,False,False,2099.0,1.0,1174.0,False,True,False,True,True,True,True,False
95120,I-495,Inner Loop,38.840958,-76.868207,50.28689881082153,donor_candidate,False,False,128.0,1.0,186.0,True,True,True,True,True,True,True,True
95121,Unknown,South,39.016805,-76.927877,40.471606928197176,outside,False,False,1955.0,0.8639386189258312,115.0,True,False,True,False,True,True,True,False
95122,Unknown,North,39.016805,-76.927877,40.471606928197176,outside,False,False,1955.0,0.8634271099744245,22.0,True,False,True,False,True,True,True,False
95123,I-495,Inner Loop,38.893257,-76.849102,44.63882024001403,donor_candidate,False,False,2097.0,1.0,123.0,True,True,True,True,True,True,True,True
95124,I-495,West,38.893257,-76.849102,44.63882024001403,outside,False,False,2097.0,0.9904625655698617,8.0,True,True,True,True,False,True,True,False
95126,I-795,North,39.433957,-76.815629,35.14266310575691,control,False,True,2099.0,0.3696998570747975,7.0,True,True,True,False,False,True,False,False
95127,I-795,South,39.433957,-76.815629,35.14266310575691,control,False,True,2099.0,0.9995235826584088,289.0,True,True,True,True,True,True,False,False
95129,Unknown,South,39.012622,-77.04345,49.4317951431512,outside,False,False,2099.0,0.9995235826584088,106.0,True,False,True,True,True,True,True,False
95130,I-97,North,39.128734,-76.641774,13.154869014021758,outside,False,False,2099.0,1.0,709.0,True,True,False,True,True,True,True,False
95131,I-97,South,39.128734,-76.641774,13.154869014021758,outside,False,False,2099.0,1.0,670.0,True,True,False,True,True,True,True,False
95134,I-495,North,39.018133,-76.954867,42.39414504164078,donor_candidate,False,False,429.0,1.0,393.0,True,True,True,True,True,True,True,True
95135,I-495,East,39.018133,-76.954867,42.39414504164078,donor_candidate,False,False,429.0,1.0,302.0,True,True,True,True,True,True,True,True
95136,I-270,North,39.03254,-77.13876,56.11094708129239,donor_candidate,False,False,2100.0,1.0,595.0,True,True,True,True,True,True,True,True
95137,I-270,North,39.03254,-77.13876,56.11094708129239,donor_candidate,False,False,2100.0,1.0,142.0,True,True,True,True,True,True,True,True
95138,I-97,South,39.191984,-76.6331,9.141683525980335,outside,False,False,2058.0,1.0,722.0,True,True,False,True,True,True,True,False
95139,I-495,West,39.022822,-76.942448,41.2045561684878,donor_candidate,False,False,2099.0,1.0,816.0,True,True,True,True,True,True,True,True
95140,I-495,North,39.022822,-76.942448,41.2045561684878,donor_candidate,False,False,2099.0,1.0,445.0,True,True,True,True,True,True,True,True
95141,Unknown,East,39.01871,-76.978218,44.11995128270664,outside,False,False,2066.0,0.0,0.0,True,False,True,False,False,True,True,False
95144,I-70,East,39.402684,-77.452455,82.31604774192284,donor_candidate,False,False,2092.0,1.0,546.0,True,True,True,True,True,True,True,True
95146,Unknown,South,39.003812,-77.077985,52.542596752695026,outside,False,False,2097.0,1.0,330.0,True,False,True,True,True,True,True,False
95147,Unknown,North,39.003812,-77.077985,52.542596752695026,outside,False,False,2097.0,1.0,448.0,True,False,True,True,True,True,True,False
95148,I-83,South,39.592806,-76.673118,44.4754721169472,control,False,True,2099.0,1.0,296.0,True,True,True,True,True,True,False,False
95149,I-83,North,39.592806,-76.673118,44.4754721169472,control,False,True,2099.0,1.0,264.0,True,True,True,True,True,True,False,False
95150,I-70,East,39.300609,-76.870271,31.098315913038242,donor_candidate,False,False,2099.0,1.0,437.0,True,True,True,True,True,True,True,True
95153,I-270,North,39.02539,-77.10869,53.98487348338545,donor_candidate,False,False,2100.0,1.0,804.0,True,True,True,True,True,True,True,True
95154,I-270,South,39.02539,-77.10869,53.98487348338545,donor_candidate,False,False,2100.0,1.0,695.0,True,True,True,True,True,True,True,True
95156,I-95,North,39.058376,-76.925562,38.04950674646028,outside,False,False,2008.0,1.0,1176.0,False,True,True,True,True,True,True,False
95163,Unknown,Unknown,39.015283,-77.016687,47.234042363311104,outside,False,False,2099.0,1.0,228.0,True,False,True,True,True,True,True,False
95164,Unknown,South,39.015283,-77.016687,47.234042363311104,outside,False,False,2099.0,1.0,204.0,True,False,True,True,True,True,True,False
95165,Unknown,North,39.005433,-77.078702,52.520083313104934,outside,False,False,90.0,1.0,32.5,True,False,True,True,True,True,True,False
95166,Unknown,South,39.005433,-77.078702,52.520083313104934,outside,False,False,90.0,1.0,48.5,True,False,True,True,True,True,True,False
95167,US-50,East,38.944995,-76.770519,35.959585149982104,outside,False,False,2100.0,0.8885714285714286,163.0,True,False,True,False,True,True,True,False
95168,US-50,East,38.944995,-76.770519,35.959585149982104,outside,False,False,2100.0,0.7080952380952381,58.0,True,False,True,False,True,True,True,False
95169,I-695,Outer Loop,39.20609,-76.614753,7.3766140106096465,outside,False,False,2098.0,1.0,472.0,False,True,False,True,True,True,True,False
95170,I-695,Inner Loop,39.20609,-76.614753,7.3766140106096465,outside,False,False,2098.0,1.0,348.0,False,True,False,True,True,True,True,False
95171,I-95,North,38.79662,-77.01084,61.89272242898438,outside,False,False,,,,False,True,True,False,False,True,True,False
95172,I-95,North,38.79662,-77.01084,61.89272242898438,outside,False,False,,,,False,True,True,False,False,True,True,False
95173,I-95,South,39.02103,-76.93568,40.80227346939559,outside,False,False,1750.0,1.0,1201.0,False,True,True,True,True,True,True,False
95176,I-95,South,38.9007,-76.84994,44.036248533592484,outside,False,False,2099.0,1.0,1352.0,False,True,True,True,True,True,True,False
95177,I-95,West,38.9007,-76.84994,44.036248533592484,outside,False,False,2099.0,1.0,125.0,False,True,True,True,True,True,True,False
95182,I-95,North,39.06547,-76.910633,36.545073367034895,outside,False,False,68.0,1.0,371.0,False,True,True,True,True,True,True,False
95191,I-270,North,39.24706,-77.297968,66.35624936573993,donor_candidate,False,False,2099.0,1.0,583.0,True,True,True,True,True,True,True,True
95194,I-95,South,39.21603,-76.73084,17.39190621595912,outside,False,False,2099.0,1.0,1333.0,False,True,False,True,True,True,True,False
95199,I-95,South,39.28463,-76.54557,8.570881724389352,treatment,True,False,918.0,0.9989106753812637,886.5,False,True,False,True,True,False,True,False
95200,Unknown,Inner Loop,39.005433,-77.078702,52.520083313104934,outside,False,False,2068.0,0.9975822050290135,21.0,True,False,True,True,True,True,True,False
95201,I-95,South,39.173108,-76.799325,23.61184807381351,outside,False,False,2098.0,1.0,1307.0,False,True,False,True,True,True,True,False
95204,I-695,South,39.36346,-76.74739,25.478307570903997,outside,False,False,2095.0,1.0,942.0,False,True,False,True,True,True,True,False
95205,I-695,North,39.36346,-76.74739,25.478307570903997,outside,False,False,2095.0,1.0,1099.0,False,True,False,True,True,True,True,False
95208,US-29,North,39.08552,-76.945909,38.45275464857558,outside,False,False,,,,True,False,True,False,False,True,True,False
95209,US-29,South,39.08552,-76.945909,38.45275464857558,outside,False,False,,,,True,False,True,False,False,True,True,False
95210,I-95,South,39.158815,-76.830115,26.52006448307064,outside,False,False,2099.0,1.0,712.0,False,True,False,True,True,True,True,False
95211,I-95,South,39.29335,-76.5322,9.427322916778667,treatment,True,False,2098.0,1.0,830.0,False,True,False,True,True,False,True,False
95212,I-95,North,39.29335,-76.5322,9.427322916778667,treatment,True,False,2098.0,1.0,636.0,False,True,False,True,True,False,True,False
95215,I-95,North,39.111711,-76.877051,31.86765604312168,outside,False,False,2098.0,0.9995233555767398,1014.0,False,True,True,True,True,True,True,False
